classroom,ac2,pb2,female,black,frl,sped,age,ac1,db1,cp1,pb1,er1,r.ac2,r.pb2
42,1.8,-0.352647596,0,0,1,1,2.269023418,-1.619354839,-0.320416582,0.276497696,-1.28204504,0.111381619,-0.749070665,0.20202968
20,5,1.047352404,0,1,1,0,0.930214383,1.780645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,0.07156233,-0.079733663
21,4.6,1.247352404,1,1,1,0,0.453828346,1.780645161,-0.764861027,-2.00921659,1.31795496,-0.288618381,-0.470079541,0.07365776
90,2.4,-0.552647596,0,1,1,0,1.182096655,-1.219354839,1.679583418,0.705069124,-1.48204504,3.111381619,0.565049589,1.429137981
44,4,1.247352404,0,0,0,0,0.697497066,0.780645161,-0.542638804,1.276497696,0.51795496,-0.088618381,-0.216010999,0.381975636
78,3.6,0.847352404,1,1,0,0,0.897360174,-1.419354839,-0.09819436,0.133640553,-0.28204504,-0.088618381,0.562432044,0.965224719
72,2.8,0.247352404,0,1,1,0,-0.044460497,0.780645161,-0.542638804,-1.00921659,0.31795496,-0.488618381,-1.531246055,-0.273112972
10,4.8,0.647352404,0,1,1,0,-1.739190134,1.180645161,-0.320416582,-1.437788018,0.91795496,-0.888618381,0.032204618,-0.134436807
46,4.4,-0.352647596,1,1,0,0,-1.265541948,1.380645161,-0.653749915,1.419354839,-0.48204504,-0.688618381,0.101786483,-0.217285451
74,3,-0.952647596,1,1,1,0,-0.47156522,0.180645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,-0.502370283,-1.418259028
90,1,-3.552647596,1,1,0,0,1.193048059,-1.019354839,1.90180564,0.99078341,-2.48204504,1.111381619,-1.032163282,-1.333719406
17,1,-0.152647596,0,1,1,0,-1.180668574,-1.819354839,0.235138973,0.705069124,0.71795496,-0.888618381,-0.924662035,-0.308622043
77,2.2,0.047352404,0,1,1,0,0.64274005,-1.419354839,1.346250085,0.276497696,-0.08204504,1.111381619,-0.279412277,0.091660696
33,4.2,0.447352404,1,0,0,0,1.61467708,1.580645161,-0.431527693,-0.580645161,0.11795496,-1.088618381,-0.678502601,0.123816705
3,4.6,-0.152647596,1,1,1,0,-0.017081989,0.980645161,-0.653749915,-1.866359447,1.31795496,-1.288618381,0.415219725,-0.908528464
6,5,0.647352404,1,1,0,0,-0.515370833,1.780645161,0.012916751,-1.866359447,0.51795496,0.511381619,-0.052852748,0.479379283
32,1,-3.552647596,1,1,1,1,-0.696068985,-1.619354839,1.568472307,1.419354839,-2.88204504,1.311381619,-0.826777884,-1.359446831
29,5,1.247352404,0,1,1,0,-0.720709642,1.180645161,-0.542638804,-1.437788018,1.11795496,0.311381619,0.378937232,1.06377503
79,3.2,1.247352404,1,1,1,0,1.694074753,0.180645161,-0.764861027,-1.866359447,1.31795496,-1.088618381,-0.640847865,-0.055833134
90,3,0.047352404,1,1,1,0,1.360056957,-0.219354839,-0.431527693,-0.866359447,0.71795496,-0.888618381,-0.036482578,-0.077869295
82,2,-1.952647596,0,1,0,0,-1.391483084,-1.419354839,-0.431527693,0.847926267,-2.08204504,-0.288618381,0.335529991,0.126588117
75,4,0.247352404,1,1,1,0,-0.775466657,0.780645161,-0.209305471,-1.152073733,0.51795496,-1.088618381,0.208497299,0.296382949
30,3.4,0.047352404,1,1,1,0,-0.216945097,-0.819354839,-0.653749915,-1.294930876,0.31795496,0.311381619,0.275438647,-0.128842673
95,4.8,0.647352404,0,0,0,1,-1.599559744,0.780645161,0.012916751,-1.723502304,0.71795496,-0.288618381,0.455134125,0.524121328
52,0.8,-0.152647596,0,1,0,0,-0.449662414,-1.419354839,-0.320416582,0.133640553,-0.88204504,0.711381619,-1.556468125,-0.074781001
101,5,-1.952647596,1,1,0,0,0.53596387,1.780645161,0.457361196,-2.152073733,-0.08204504,-1.288618381,0.2867003,-1.922236036
75,4,0.247352404,1,1,0,0,-0.600244207,-0.219354839,0.012916751,-1.152073733,0.51795496,-1.088618381,0.953606765,0.369922467
24,5,1.247352404,1,1,0,0,1.135553192,1.780645161,-0.209305471,-1.723502304,1.31795496,-1.288618381,0.182051199,0.2340754
6,5,0.847352404,1,1,0,0,-1.030086781,1.780645161,-0.764861027,-2.152073733,1.51795496,-0.688618381,-0.212059316,-0.125340987
86,3.2,-0.752647596,1,1,1,0,-0.392167547,-1.219354839,0.457361196,0.705069124,-0.88204504,-0.688618381,0.256956036,-0.050523185
27,2.8,0.247352404,1,1,1,0,-1.547540579,-0.019354839,-0.209305471,-0.866359447,-0.08204504,-0.288618381,-0.634009561,0.392045907
107,3,-0.752647596,0,0,1,1,1.535279407,-1.019354839,1.568472307,0.847926267,-1.68204504,2.511381619,0.514318023,0.694713739
73,3.6,0.447352404,0,1,0,0,-0.583817102,1.180645161,-0.431527693,-1.294930876,0.91795496,-0.688618381,-0.434509144,0.118518815
49,5,1.047352404,0,1,0,0,1.529803705,1.780645161,-0.653749915,2.276497696,0.51795496,-0.288618381,0.771500541,0.944469847
43,4.8,0.447352404,0,0,0,0,1.830967292,0.980645161,-0.431527693,1.99078341,-0.28204504,0.111381619,0.111852648,0.216720312
41,2.4,0.047352404,0,1,1,0,1.516114451,-0.819354839,1.457361196,-0.00921659,-1.48204504,1.111381619,0.19761151,1.018523343
37,2.8,-0.752647596,0,0,0,0,-1.796685001,-0.019354839,-0.653749915,0.847926267,-1.68204504,-0.888618381,-0.310833845,-0.34809448
19,5,1.247352404,0,0,1,0,0.587983035,0.780645161,-0.431527693,-0.580645161,0.11795496,-0.888618381,0.176361934,0.254154714
60,4.2,1.047352404,1,1,1,0,-1.692646671,-0.419354839,-0.764861027,1.133640553,0.11795496,-0.288618381,0.069242286,-0.106999048
38,3.4,1.247352404,0,1,0,1,1.647531289,0.580645161,-0.653749915,1.847926267,0.31795496,0.111381619,0.087961088,0.478753289
53,3.4,0.047352404,0,1,1,0,-0.917834898,1.380645161,-0.320416582,2.419354839,0.31795496,0.111381619,-0.679718345,-0.863916811
34,4.4,1.247352404,1,1,0,0,-0.422283906,1.180645161,-0.764861027,-2.152073733,1.51795496,-1.288618381,0.134300871,0.113048964
44,5,1.247352404,1,0,0,0,0.420974137,1.780645161,-0.209305471,2.133640553,0.51795496,-0.488618381,-0.089954065,0.148524957
43,4.8,-1.352647596,0,0,0,1,0.100645595,1.380645161,1.235138973,1.133640553,-1.28204504,1.111381619,0.045724739,-0.809871535
76,2.2,-0.352647596,0,1,1,0,0.289557299,-1.819354839,-0.09819436,2.562211982,-0.48204504,-0.288618381,0.272464078,-0.070590083
